days,Multiplication,change 1,change 2,change 3,Count Diff,Top,Classification,ID
2,8.573323024,0.992880687,0.948066113,0.996473457,2,0.263894682,1,0
1,7.426138983,0.978371501,0.944315545,0.83621684,2,0.3357376,1,1
2,8.251054497,0.972422062,0.990551181,0.68879668,1,0.670953987,0,1
2,9.202116933,1.016379789,1.037752161,1.02016129,2,0.842925947,1,2
2,7.908807604,1,0.926928783,1.262068966,1,0.608974904,0,3
1,7.193507942,1.03362069,0.95283773,1.1640625,1,0.619197932,0,3
9,8.423664888,1.227433591,0.476739271,1.283631042,1,0.358357333,0,4
3,7.589753729,1.002213859,1.044398436,1.013466108,1,0.604898464,0,4
8,8.465573696,1.04038835,0.950177936,1.016530461,6,0.627398685,1,5
2,8.206171415,1.03329214,0.834940379,1.204360153,1,0.300897913,0,6
3,7.854069554,1.042195598,0.868458751,1.455990055,1,0.579625486,0,6
3,8.522524963,1.008222285,1.01977644,0.860063119,5,0.822288555,1,6
19,8.52977735,0.994582588,0.760059798,1.059412401,7,0.475860688,1,7
4,7.739023736,1.019446455,1.068154643,0.932775533,6,0.680226794,1,7
6,8.01896893,1.006232914,0.962219874,0.917688414,17,0.460878659,1,7
18,8.06920271,1.003787173,1.0708913,0.921317751,9,0.671066686,1,7
9,8.091386853,1.039053254,0.956867196,0.972388956,1,0.846839939,0,8
4,8.386775979,0.991256831,0.984072688,0.901052632,2,0.518105138,1,8
4,7.821022724,1.000660066,0.995698347,0.916065223,1,0.881337572,0,9
9,8.455829627,1.093137255,0.987409506,0.845856046,1,0.695473968,0,9
10,8.833301584,0.992384481,1.026800847,1.062800921,2,0.5379379,1,9
2,8.698709427,0.976792509,0.890954848,1.054071248,1,0.305103215,0,10
4,7.922355682,0.990316848,0.913986117,1.219999967,6,0.341147855,1,10
1,8.592297892,0.990756025,0.993373095,0.995088842,10,0.811081164,1,10
7,7.627463822,1.00464876,1.010345909,0.938739669,16,0.389105572,1,10
1,8.481957255,1.003268663,1.007919747,0.8776072,8,0.497500611,1,11
1,7.133190752,1,1.011252344,1.021775197,2,0.263632664,1,11
3,8.323390371,1.00152668,1.039308175,1.061624659,4,0.437372472,1,12
14,8.564383781,0.943514651,0.687500041,1.115853694,3,0.391319032,1,12
2,7.097931286,0.998011883,1.175555547,1.352549799,10,0.651974161,1,12
2,7.123024787,0.958,1.002252252,1.034707154,66,0.49792866,1,12
15,9.139465608,1.021818182,1.003703704,0.978927203,5,0.432229216,1,12
1,7.231627338,1.048813559,1.008107155,0.735181944,4,0.385300665,1,13
1,8.134867404,1.000948167,0.999037227,0.856646084,4,0.470320557,1,13
5,7.714341047,0.957363488,0.990693419,1.096647638,2,0.333621808,1,14
2,7.067982589,1.015720018,1.059292649,0.918706972,12,0.605386113,1,14
3,7.571017947,1.00950041,0.956169926,0.852418609,7,1.131052319,1,14
1,8.738862906,0.997757103,0.984342895,0.990703248,10,0.525168224,1,14
6,8.762551333,0.943691306,0.873700379,1.028766411,5,0.34062015,1,15
1,7.714561904,1.006837566,0.987246759,0.981607469,15,0.934657197,1,15
1,7.103563017,0.996663079,1.000645508,0.943323022,7,0.857796217,1,15
1,7.250210795,1.018628913,1.00820512,1.048448656,1,0.588755498,0,16
5,8.300343384,1.000254494,1.11480608,1.057645685,4,0.29730015,1,16
10,8.03202408,0.992212389,1.068789085,0.908608267,2,0.370644104,1,16
9,7.963552177,1.005,1.129814046,1.207822292,2,0.377056417,1,17
9,7.952488029,1.027287319,1.007397877,0.972964274,4,0.768777276,1,17
5,7.852497069,1.031232092,0.905344655,0.81117632,5,0.402392069,1,17
3,8.592409931,1.003696858,0.991780822,1.049909256,6,0.915787408,1,18
12,8.170446058,1.013031136,0.640380932,1.016380964,1,0.540365646,0,19
13,8.102533824,0.995573441,1.115592609,0.959688537,54,0.604560262,1,19
2,8.10109617,1.012925966,1.011489735,1.035129784,6,0.531339716,1,20
8,8.635628489,0.978858351,0.975660066,1.00618047,42,0.808290017,1,20
1,8.210374223,0.95738377,0.995277454,0.95744079,2,0.3631121,1,21
5,8.436357038,1.117572693,0.834139768,1.017193536,1,0.550403668,0,21
1,7.349360668,0.993224932,1.029605263,0.923306773,2,1.104423375,1,21
6,8.331850234,0.991395436,0.916666667,1.003751705,2,0.77385731,1,21
9,8.740234065,1.042047215,0.914639469,1.009067019,5,0.429170009,1,22
1,8.214855443,1.001042598,0.98910162,0.99205298,6,0.513048534,1,22
2,8.2484166,0.961290298,0.978426387,1.05839638,1,0.673154425,0,23
14,8.71712275,1.042307707,0.530026647,1.010802102,1,0.644209246,0,24
2,10,0.988983051,0.985066522,0.884401114,7,0.394647866,1,24
1,8.225380546,0.984949889,0.961900519,1.031019112,2,0.421211598,1,25
5,8.31138944,0.992110454,1.028513238,0.886128364,2,0.889293527,1,26
4,7.772556012,1.001865672,0.984962406,0.973128599,6,0.835531439,1,26
1,7.869029549,1.046463218,0.992523847,1.041669183,1,0.828781636,0,27
1,7.10635673,0.942669047,1.053912368,1.20469577,2,0.92641613,1,27
5,7.805495456,1.014778325,0.921916203,1.018138918,3,0.530251358,1,28
9,10,0.996054093,0.964027994,1.005639098,6,0.759499759,1,29
13,8.966288862,1.00712633,0.943073583,1.091882248,17,0.578607949,1,30
3,7.940245887,0.97788476,0.98957422,1.064948685,7,0.541220479,1,30
1,7.207756375,0.997597117,1.021106198,0.918393356,4,0.444773948,1,31
5,8.529774255,1.020749031,0.94784,0.889281413,19,0.398957734,1,31
1,7.457130605,1.034444444,0.983856159,0.903990864,1,0.609301612,0,32
1,7.486663827,0.998053072,0.941407056,0.821052658,5,0.319438133,1,32
2,7.655685536,1.008054981,1.006568635,1.073636499,17,0.639184684,1,32
10,9.022419096,0.997305141,0.966030151,0.997561967,6,0.606511266,1,33
2,7.856013085,1.008145389,0.996707819,0.980637354,40,0.95374003,1,33
1,7.034285348,0.971250339,0.84495614,0.980632508,1,0.232411583,0,34
5,7.984288431,0.951862758,0.97775495,0.953021629,3,0.399944431,1,35
10,8.663852754,0.978284712,1.076424361,0.860559144,8,0.458780538,1,35
7,9.025485603,1.003034855,0.997277672,0.996672698,8,0.346227173,1,36
1,8.078796271,1.004268274,0.998475981,0.999697479,26,0.516951327,1,36
